date,city,company,desc,price
2021-04-04,HASSAN,Vencobb,(Large) Per kg,126.0
2021-04-04,MYSORE,Vencobb,(Large) Per kg,123.0
2021-04-04,SHIMOGA,Vencobb,(Large) Per kg,132.0
2021-04-04,hosadurga,Vencobb,(Large) Per Kg,132.0
2021-04-05,BANGALORE,Vencobb,(Large) Per kg,129.0
2021-04-05,HASSAN,Vencobb,(Large) Per kg,129.0
2021-04-05,MYSORE,Vencobb,(Large) Per kg,126.0
2021-04-05,SHIMOGA,Vencobb,(Large) Per kg,132.0
2021-04-05,hosadurga,Vencobb,(Large) Per Kg,132.0
2021-04-06,BANGALORE,Vencobb,(Large) Per kg,130.0
2021-04-06,HASSAN,Vencobb,(Large) Per kg,130.0
2021-04-06,MYSORE,Vencobb,(Large) Per kg,127.0
2021-04-06,SHIMOGA,Vencobb,(Large) Per kg,134.0
2021-04-06,hosadurga,Vencobb,(Large) Per Kg,134.0
2021-04-07,BANGALORE,Vencobb,(Large) Per kg,133.0
2021-04-07,HASSAN,Vencobb,(Large) Per kg,132.0
2021-04-07,MYSORE,Vencobb,(Large) Per kg,130.0
2021-04-07,SHIMOGA,Vencobb,(Large) Per kg,132.0
2021-04-07,hosadurga,Vencobb,(Large) Per Kg,132.0
2021-04-08,BANGALORE,Vencobb,(Large) Per kg,133.0
2021-04-08,HASSAN,Vencobb,(Large) Per kg,130.0
2021-04-08,MYSORE,Vencobb,(Large) Per kg,130.0
2021-04-08,SHIMOGA,Vencobb,(Large) Per kg,130.0
2021-04-08,hosadurga,Vencobb,(Large) Per Kg,130.0
2021-04-09,BANGALORE,Vencobb,(Large) Per kg,130.0
2021-04-09,HASSAN,Vencobb,(Large) Per kg,128.0
2021-04-09,MYSORE,Vencobb,(Large) Per kg,126.0
2021-04-09,SHIMOGA,Vencobb,(Large) Per kg,122.0
2021-04-09,hosadurga,Vencobb,(Large) Per Kg,122.0
2021-04-10,BANGALORE,Vencobb,(Large) Per kg,128.0
2021-04-10,HASSAN,Vencobb,(Large) Per kg,123.0
2021-04-10,MYSORE,Vencobb,(Large) Per kg,125.0
2021-04-10,SHIMOGA,Vencobb,(Large) Per kg,117.0
2021-04-10,hosadurga,Vencobb,(Large) Per Kg,117.0
2021-04-11,BANGALORE,Vencobb,(Large) Per kg,126.0
2021-04-11,HASSAN,Vencobb,(Large) Per kg,122.0
2021-04-11,MYSORE,Vencobb,(Large) Per kg,122.0
2021-04-11,SHIMOGA,Vencobb,(Large) Per kg,117.0
2021-04-11,hosadurga,Vencobb,(Large) Per Kg,117.0
2021-04-12,BANGALORE,Vencobb,(Large) Per kg,122.0
2021-04-12,HASSAN,Vencobb,(Large) Per kg,122.0
2021-04-12,MYSORE,Vencobb,(Large) Per kg,120.0
2021-04-12,SHIMOGA,Vencobb,(Large) Per kg,122.0
2021-04-12,hosadurga,Vencobb,(Large) Per Kg,122.0
2021-04-13,BANGALORE,Vencobb,(Large) Per kg,124.0
2021-04-13,HASSAN,Vencobb,(Large) Per kg,124.0
2021-04-13,MYSORE,Vencobb,(Large) Per kg,121.0
2021-04-13,SHIMOGA,Vencobb,(Large) Per kg,122.0
2021-04-13,hosadurga,Vencobb,(Large) Per Kg,122.0
2021-04-14,BANGALORE,Vencobb,(Large) Per kg,127.0
2021-04-14,HASSAN,Vencobb,(Large) Per kg,127.0
2021-04-14,MYSORE,Vencobb,(Large) Per kg,124.0
2021-04-14,SHIMOGA,Vencobb,(Large) Per kg,125.0
2021-04-14,hosadurga,Vencobb,(Large) Per Kg,125.0
2021-04-15,BANGALORE,Vencobb,(Large) Per kg,117.0
2021-04-15,HASSAN,Vencobb,(Large) Per kg,127.0
2021-04-15,MYSORE,Vencobb,(Large) Per kg,124.0
2021-04-15,SHIMOGA,Vencobb,(Large) Per kg,125.0
2021-04-15,hosadurga,Vencobb,(Large) Per Kg,117.0
2021-04-16,BANGALORE,Vencobb,(Large) Per kg,124.0
2021-04-16,HASSAN,Vencobb,(Large) Per kg,124.0
2021-04-16,MYSORE,Vencobb,(Large) Per kg,121.0
2021-04-16,SHIMOGA,Vencobb,(Large) Per kg,117.0
2021-04-16,hosadurga,Vencobb,(Large) Per Kg,117.0
2021-04-17,BANGALORE,Vencobb,(Large) Per kg,124.0
2021-04-17,HASSAN,Vencobb,(Large) Per kg,124.0
2021-04-17,MYSORE,Vencobb,(Large) Per kg,121.0
2021-04-17,SHIMOGA,Vencobb,(Large) Per kg,117.0
2021-04-17,hosadurga,Vencobb,(Large) Per Kg,117.0
2021-04-18,BANGALORE,Vencobb,(Large) Per kg,112.0
2021-04-18,HASSAN,Vencobb,(Large) Per kg,116.0
2021-04-18,MYSORE,Vencobb,(Large) Per kg,116.0
2021-04-18,SHIMOGA,Vencobb,(Large) Per kg,114.0
2021-04-18,hosadurga,Vencobb,(Large) Per Kg,114.0
2021-04-19,BANGALORE,Vencobb,(Large) Per kg,104.0
2021-04-19,HASSAN,Vencobb,(Large) Per kg,112.0
2021-04-19,MYSORE,Vencobb,(Large) Per kg,112.0
2021-04-19,SHIMOGA,Vencobb,(Large) Per kg,107.0
2021-04-19,hosadurga,Vencobb,(Large) Per Kg,107.0
2021-04-20,BANGALORE,Vencobb,(Large) Per kg,98.0
2021-04-20,HASSAN,Vencobb,(Large) Per kg,101.0
2021-04-20,MYSORE,Vencobb,(Large) Per kg,101.0
2021-04-20,SHIMOGA,Vencobb,(Large) Per kg,100.0
2021-04-20,hosadurga,Vencobb,(Large) Per Kg,100.0
2021-04-21,BANGALORE,Vencobb,(Large) Per kg,90.0
2021-04-21,HASSAN,Vencobb,(Large) Per kg,90.0
2021-04-21,MYSORE,Vencobb,(Large) Per kg,90.0
2021-04-21,SHIMOGA,Vencobb,(Large) Per kg,90.0
2021-04-21,hosadurga,Vencobb,(Large) Per Kg,90.0
2021-04-22,BANGALORE,Vencobb,(Large) Per kg,85.0
2021-04-22,HASSAN,Vencobb,(Large) Per kg,85.0
2021-04-22,MYSORE,Vencobb,(Large) Per kg,85.0
2021-04-22,SHIMOGA,Vencobb,(Large) Per kg,82.0
2021-04-22,hosadurga,Vencobb,(Large) Per Kg,82.0
2021-04-23,BANGALORE,Vencobb,(Large) Per kg,73.0
2021-04-23,HASSAN,Vencobb,(Large) Per kg,73.0
2021-04-23,MYSORE,Vencobb,(Large) Per kg,73.0
2021-04-23,SHIMOGA,Vencobb,(Large) Per kg,73.0
2021-04-23,hosadurga,Vencobb,(Large) Per Kg,73.0
2021-04-24,BANGALORE,Vencobb,(Large) Per kg,70.0
2021-04-24,HASSAN,Vencobb,(Large) Per kg,71.0
2021-04-24,MYSORE,Vencobb,(Large) Per kg,71.0
2021-04-24,SHIMOGA,Vencobb,(Large) Per kg,72.0
2021-04-24,hosadurga,Vencobb,(Large) Per Kg,72.0
2021-04-25,BANGALORE,Vencobb,(Large) Per kg,65.0
2021-04-25,HASSAN,Vencobb,(Large) Per kg,68.0
2021-04-25,MYSORE,Vencobb,(Large) Per kg,68.0
2021-04-25,SHIMOGA,Vencobb,(Large) Per kg,75.0
2021-04-25,hosadurga,Vencobb,(Large) Per Kg,75.0
2021-04-26,BANGALORE,Vencobb,(Large) Per kg,75.0
2021-04-26,HASSAN,Vencobb,(Large) Per kg,75.0
2021-04-26,MYSORE,Vencobb,(Large) Per kg,75.0
2021-04-26,SHIMOGA,Vencobb,(Large) Per kg,77.0
2021-04-26,hosadurga,Vencobb,(Large) Per Kg,77.0
2021-04-27,BANGALORE,Vencobb,(Large) Per kg,88.0
2021-04-27,HASSAN,Vencobb,(Large) Per kg,88.0
2021-04-27,MYSORE,Vencobb,(Large) Per kg,88.0
2021-04-27,SHIMOGA,Vencobb,(Large) Per kg,88.0
2021-04-27,hosadurga,Vencobb,(Large) Per Kg,88.0
2021-04-28,BANGALORE,Vencobb,(Large) Per kg,88.0
2021-04-28,HASSAN,Vencobb,(Large) Per kg,88.0
2021-04-28,MYSORE,Vencobb,(Large) Per kg,88.0
2021-04-28,SHIMOGA,Vencobb,(Large) Per kg,88.0
2021-04-28,hosadurga,Vencobb,(Large) Per Kg,88.0
2021-04-29,BANGALORE,Vencobb,(Large) Per kg,80.0
2021-04-29,HASSAN,Vencobb,(Large) Per kg,82.0
2021-04-29,MYSORE,Vencobb,(Large) Per kg,82.0
2021-04-29,SHIMOGA,Vencobb,(Large) Per kg,84.0
2021-04-29,hosadurga,Vencobb,(Large) Per Kg,84.0
2021-04-30,BANGALORE,Vencobb,(Large) Per kg,68.0
2021-04-30,HASSAN,Vencobb,(Large) Per kg,68.0
2021-04-30,MYSORE,Vencobb,(Large) Per kg,68.0
